Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,RAM,Storage Capacity,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Payment Method,Channel,Priority,Cost Price,Sale Price,Discount Amount,Finance Amount,Credit Score,Cost of Repairs,Total Sales per Employee,PC Market Price,Purchase Date,Ship Date
North America,Texas,McKinney,DEF Machines,7,Asus,ROG Strix Scar III,HDD,16GB,1TB,Michael,Obrien,8759422956,carterpatricia@example.net,Ashley Wright,New Sales,Cash,Offline,Low,18384,23384,937,0,685,0,570,21010,2022-07-17,N/A
Africa,Kenya,Mombasa,XYZ Tech,7,HP,Stream,HDD,16GB,1TB,Kevin,Romero,(430)332-4476,tfreeman@example.com,Tonya Nolan,Repairs,Finance,Online,High,18950,23116,50,5166,786,3465,380,22010,2024-01-13,2024-02-12
North America,California,Oxnard,XYZ Tech,7,Apple,Apple Lisa,HDD,2GB,256GB,Sarah,Mcconnell,(474)419-1030,richardsshelley@example.com,Alyssa Martinez,Repairs,Cash,Offline,Medium,15215,19439,286,0,401,1981,146,17913,2021-11-22,N/A
North America,Pennsylvania,Wilkes-Barre,Benjis Tech,2,Lenovo,IdeaPad Flex 5,SSD,4GB,1TB,Sarah,King,(628)735-7206,nealrebecca@example.com,Lisa Graham,Returns,Cash,Offline,High,14132,16444,132,0,656,0,856,15699,2023-10-07,N/A
North America,Michigan,Saginaw,Benjis Tech,3,Apple,Apple Mac Mini,HDD,16GB,256GB,Gregory,Brown,900-400-3165x799,roberthebert@example.net,Allen Juarez,Second-hand Sales,Bank Transfer,Online,Medium,12365,15254,984,0,488,0,549,13599,2023-10-24,2023-11-04
North America,Ohio,Beavercreek,Western International PCs,2,Dell,Precision,HDD,8GB,500GB,Karen,Nguyen,268.968.3311x03727,simmonsdillon@example.com,Max Mccann,New Sales,Finance,Offline,Low,12187,14372,549,43712,573,0,781,13327,2021-05-21,N/A
Africa,Botswana,Kweneng,CK Tech Store,2,Asus,ZenBook UX425,HDD,4GB,256GB,Alexis,Gray,968-253-8760,sawyermark@example.com,Madison Davis,Repairs,Cash,Online,Medium,19899,23008,502,0,676,3902,762,22285,2022-10-10,2022-10-18
Africa,Ethiopia,Harari,Greens Laptops and PCs,2,Acer,Spin 5,HDD,2GB,256GB,Garrett,Jones,373-794-7580x20731,ricky11@example.com,Joseph Good,Repairs,Cash,Online,Medium,26911,30154,439,0,550,3962,1000,30047,2022-01-25,2022-02-02
North America,California,Irvine,GH PC Shop,1,Microsoft,Surface Neo,HDD,2GB,1TB,Christina,Little,(867)493-2795x5301,fjohnson@example.com,Amber Montgomery,Second-hand Sales,Bank Transfer,Offline,High,2688,5948,894,0,473,0,321,3130,2023-02-08,N/A
Africa,South Africa,Northern Cape,S & A Computer Place,7,Asus,TUF Gaming A15,SSD,2GB,256GB,Daniel,Lee,+1-596-996-3259x547,lauriecastillo@example.com,Daniel Lane,Repairs,Finance,Offline,Low,19245,23505,555,3330,434,1783,850,20130,2023-09-29,N/A
Africa,Ghana,Upper East,XYZ Tech,4,Lenovo,ThinkPad X13 Yoga,SSD,16GB,500GB,Desiree,Garza,354-460-5679,carlos96@example.com,Kevin Lee,Returns,Cash,Online,Low,6466,9048,803,0,685,0,955,8823,2023-07-06,2023-07-14
Africa,Morocco,Kenitra,Jacks Hardware,6,Dell,Precision,HDD,16GB,1TB,Joshua,Adams,423-668-1647,fdaniels@example.org,Amy Owens,New Sales,Finance,Online,Medium,24519,26768,201,29024,782,0,983,26325,2023-04-29,2023-05-21
Africa,Tanzania,Mtwara,GH PC Shop,10,Microsoft,Surface Pro,HDD,4GB,1TB,Shane,Brown,(752)070-2331,melissa64@example.com,Mary Fisher,Repairs,Cash,Offline,Medium,23367,27513,232,0,423,4570,378,24109,2021-08-12,N/A
North America,Pennsylvania,Johnstown,A & A PCs,9,Asus,ROG Zephyrus S GX701,SSD,8GB,500GB,Logan,Perez,(923)603-3333,gregory66@example.org,Julia Dodson,Second-hand Sales,Bank Transfer,Offline,Medium,21946,25723,203,0,533,0,661,23419,2022-08-19,N/A
Africa,Nigeria,Borno,ABC Computers,5,Asus,ProArt StudioBook Pro X,HDD,16GB,256GB,Kim,Love,1910929550,salinasshawn@example.net,Timothy Leach,Second-hand Sales,Cash,Offline,Low,26724,31139,150,0,446,0,822,28481,2021-09-29,N/A
Africa,Tanzania,Mwanza,Ricks Computers,8,Toshiba,Qosmio,HDD,4GB,256GB,Ryan,Curtis,016.137.8479,gregory28@example.net,David Osborn,Returns,Cash,Offline,High,5318,7653,6,0,715,0,876,7199,2023-12-14,N/A
North America,Ohio,Westerville,A & A PCs,10,Acer,Predator Triton 500,SSD,4GB,256GB,Sharon,Pena,497.727.4314x534,cookjoshua@example.net,Jason Gentry,Repairs,Finance,Offline,Low,18832,21802,201,28027,405,3346,132,19928,2023-05-06,N/A
Africa,South Africa,Gauteng,KyaSand Tech Gadgets,8,Lenovo,ThinkPad T14,HDD,2GB,500GB,Nathaniel,Marshall,+1-542-502-1275x57882,ostewart@example.com,Mrs. Barbara Davenport,Second-hand Sales,Bank Transfer,Online,High,6885,8948,383,0,529,0,472,7482,2023-08-08,2023-09-05
Africa,Nigeria,Sokoto,DEF Machines,9,Asus,VivoBook S14,SSD,16GB,500GB,Christopher,Hill,001-627-047-3808x4582,joshuahernandez@example.org,Lisa Morgan,Returns,Bank Transfer,Offline,Medium,10024,13841,632,0,782,0,491,12728,2021-08-04,N/A
Africa,Kenya,Nyeri,S & A Computer Place,5,Toshiba,Qosmio,HDD,16GB,500GB,Elizabeth,Melton,729.437.2339,grossmelissa@example.org,David Ellis,Returns,Cash,Offline,Low,22022,24788,909,0,623,0,97,24685,2022-02-10,N/A
Africa,South Africa,Northern Cape,Jacks Hardware,3,MSI,GE76 Raider,SSD,2GB,256GB,Allison,Smith,(297)164-2241x912,fcole@example.com,Mary Nelson,New Sales,Cash,Offline,Low,18788,21357,338,0,642,0,982,20287,2023-05-04,N/A
North America,North Carolina,Morganton,GH PC Shop,9,MSI,GE76 Raider,SSD,16GB,500GB,Tara,Marks,4931322286,sanchezchristian@example.com,Morgan Moore,New Sales,Bank Transfer,Online,Medium,14307,17436,941,0,609,0,319,15616,2023-04-20,2023-05-20
Africa,Angola,Huila,GHI Machines,9,HP,Probook,HDD,16GB,500GB,David,Moon,001-478-678-3296,snyderjacqueline@example.com,Cassidy Mason,Second-hand Sales,Finance,Online,High,29677,32562,725,44142,532,0,198,29708,2022-12-05,2022-12-27
Africa,Ethiopia,Afar,Jacks Hardware,1,Lenovo,ThinkPad T14,HDD,16GB,1TB,Pamela,Martin,396.536.2013x61043,mcgeecatherine@example.com,Alexa Hopkins,Returns,Finance,Offline,Medium,20561,24439,73,2896,616,0,521,23280,2023-12-01,N/A
Africa,Morocco,Azilal,S & A Computer Place,4,MSI,Alpha 15,HDD,4GB,500GB,Kyle,Harmon,253-644-9959x52009,josephvasquez@example.net,Emma Scott,Returns,Bank Transfer,Online,Medium,28098,31040,901,0,580,0,671,29696,2023-12-19,2024-01-07
North America,North Carolina,Havelock,LJ Computers,6,Apple,Apple Mac Pro,SSD,2GB,1TB,Christopher,Campos,001-867-181-4348x6593,ysanchez@example.net,Tony Valenzuela,Returns,Cash,Online,Medium,6881,11746,62,0,418,0,682,8064,2021-09-12,2021-09-15
